Generating using factory_boy (factories.factory_boy_django_auth_minimal.UserFactory):
         391904 function calls (381920 primitive calls) in 12.530 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:309(__subclasshook__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:388(__subclasshook__)
       26    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
     1000    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
     30/4    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      641    0.000    0.000    0.001    0.000 <frozen genericpath>:39(isdir)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
    20/19    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    46/45    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
       45    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
    40/38    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
    20/19    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:911(_load_unlocked)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       20    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       20    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
    20/19    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:989(exec_module)
     1267    0.000    0.000    0.000    0.000 <frozen importlib.machinery>:18(all_suffixes)
       19    0.000    0.000    0.000    0.000 <frozen os>:853(fsdecode)
       19    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
     1267    0.000    0.000    0.001    0.000 <frozen posixpath>:169(basename)
     1891    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
